"juos","wgs84_x","wgs84_y"
0,-109.038975,40.996369
0,-109.337151,40.955804
0,-108.980936,40.950329
1,-109.456724,40.912707
1,-109.397695,40.911838
1,-109.278941,40.910108
0,-108.922978,40.904261
1,-109.161608,40.86332
1,-108.924376,40.859194
0,-109.577686,40.824117
0,-109.459429,40.822733
1,-109.162837,40.817984
0,-109.258097,40.801717
1,-109.009584,40.788661
0,-110.171101,40.784857
0,-109.934102,40.782897
0,-109.637991,40.779874
0,-109.341719,40.775925
1,-108.986376,40.770306
0,-110.763843,40.742551
0,-110.6454,40.742247
0,-110.58618,40.742049
0,-110.349306,40.740955
0,-110.230875,40.740226
0,-109.934822,40.737879
0,-109.757145,40.73624
0,-109.51994,40.734235
0,-109.402026,40.731735
0,-109.224464,40.729725
0,-109.165251,40.728195
0,-108.869436,40.723131
1,-108.691959,40.719708
0,-110.586459,40.697006
0,-110.468065,40.696457
0,-110.113048,40.694341
0,-109.876435,40.692113
0,-109.698908,40.690295
1,-108.989115,40.68022
1,-108.870871,40.678118
1,-108.693499,40.674737
0,-107.898732,40.661384
0,-110.823301,40.652569
0,-108.04347,40.659884
0,-110.349183,40.651607
0,-110.231912,40.650148
0,-110.113574,40.649329
1,-109.640613,40.644698
0,-109.463299,40.642502
1,-109.404329,40.641702
0,-109.108656,40.637219
0,-108.104489,40.616396
0,-110.7059,40.60759
0,-110.646115,40.607116
0,-110.291724,40.605612
0,-109.936958,40.602815
1,-109.523273,40.598305
1,-109.16869,40.59311
1,-108.932777,40.589173
0,-108.696655,40.584389
1,-108.578521,40.582287
0,-108.165416,40.5729
1,-108.047523,40.569827
0,-110.882964,40.563068
0,-110.823808,40.56256
0,-110.173807,40.559651
1,-109.937736,40.558121
1,-109.760508,40.555997
1,-109.642627,40.553942
0,-109.406316,40.551627
0,-109.347287,40.550798
1,-109.170223,40.548138
1,-109.11118,40.547187
0,-110.492932,40.543438
0,-110.433877,40.543235
1,-108.816125,40.542058
0,-108.698141,40.539685
1,-108.521119,40.536084
1,-108.403158,40.533446
0,-108.285271,40.530707
0,-110.646575,40.517189
1,-109.879303,40.512147
1,-109.643366,40.509682
1,-109.583694,40.508984
1,-110.092078,40.496059
0,-107.903531,40.499134
1,-108.581847,40.492206
0,-108.228145,40.484322
0,-108.051386,40.479944
0,-107.773128,40.484324
0,-110.941796,40.472526
0,-110.469882,40.471308
0,-110.351925,40.470707
0,-110.292948,40.470361
1,-110.116032,40.469164
1,-109.99645,40.467972
1,-109.762201,40.4659
1,-109.030953,40.464783
1,-109.290548,40.459888
0,-108.995832,40.455162
1,-108.78372,40.451505
1,-108.701217,40.449649
1,-108.642216,40.448559
1,-108.347731,40.442083
1,-107.830173,40.437894
1,-110.76485,40.42741
0,-108.053354,40.434958
0,-111.059795,40.427321
1,-110.823594,40.427352
0,-110.64706,40.426939
1,-110.529212,40.426502
1,-110.352771,40.425523
1,-110.234389,40.424845
0,-109.763004,40.420847
0,-109.468423,40.417338
1,-109.172148,40.412934
1,-109.114975,40.412115
0,-109.845832,40.403704
0,-108.997135,40.410089
1,-108.879375,40.408025
1,-108.408428,40.398404
1,-107.710556,40.395725
0,-107.945954,40.389972
0,-111.000732,40.382442
0,-110.706198,40.382059
1,-110.17733,40.378671
0,-110.058304,40.378601
0,-109.704965,40.375186
0,-109.528309,40.373081
0,-109.292825,40.369836
1,-109.175578,40.367946
0,-109.446307,40.353982
1,-108.586597,40.357214
0,-108.351309,40.352097
1,-108.233708,40.349315
0,-108.116074,40.346466
0,-107.979271,40.344081
0,-110.824123,40.337253
1,-110.647494,40.336814
1,-110.529803,40.336432
1,-110.2355,40.334862
0,-109.646982,40.329477
1,-109.529288,40.328023
0,-107.731575,40.332186
1,-108.41186,40.308439
0,-108.176753,40.302936
0,-108.059217,40.300042
0,-107.88328,40.301479
0,-111.177367,40.292039
0,-111.059642,40.292481
0,-111.00072,40.292342
1,-110.765602,40.292068
1,-110.353648,40.290537
1,-110.118323,40.28902
0,-110.000739,40.288028
0,-109.883113,40.286953
0,-109.765494,40.285758
1,-108.859586,40.29049
1,-108.800765,40.289459
1,-108.730229,40.288078
0,-109.41268,40.281455
1,-109.00122,40.275069
1,-108.354813,40.262099
0,-107.822643,40.257937
0,-107.763914,40.259356
0,-111.177086,40.247164
0,-111.118297,40.247238
1,-110.824357,40.24718
0,-110.295295,40.245151
0,-110.177734,40.244375
0,-109.707544,40.24008
1,-109.237472,40.233874
1,-109.1789,40.232986
1,-109.11999,40.232044
1,-108.650183,40.223458
1,-108.415256,40.218417
1,-108.356589,40.217073
1,-108.18053,40.212924
1,-108.556801,40.203533
0,-108.004577,40.208555
0,-110.941912,40.202261
1,-110.824426,40.202151
1,-110.589377,40.201511
1,-110.471838,40.201224
0,-110.0608,40.198439
0,-109.82586,40.196295
0,-109.590946,40.193674
0,-109.532222,40.192944
0,-109.356064,40.190576
1,-109.062189,40.186065
1,-108.886426,40.182955
