"","plot","year","uninfected_bay_ct","infected_bay_ct","tot_bay","ct_bay_NA","infected"
"1","ANN01",2004,8,15,23,0,1
"2","ANN01",2005,6,17,23,0,1
"3","ANN01",2006,0,25,25,0,1
"4","ANN01",2007,0,23,23,0,1
"5","ANN01",2008,0,24,24,0,1
"6","ANN01",2009,0,23,23,0,1
"7","ANN01",2010,1,23,24,0,1
"8","ANN01",2011,0,24,24,0,1
"9","ANN01",2012,0,26,26,0,1
"10","ANN01",2014,1,23,24,0,1
"11","ANN02",2004,2,9,11,0,1
"12","ANN02",2005,3,8,11,0,1
"13","ANN02",2006,0,11,11,0,1
"14","ANN02",2007,0,11,11,0,1
"15","ANN02",2008,0,11,11,0,1
"16","ANN02",2009,0,11,11,0,1
"17","ANN02",2010,0,11,11,0,1
"18","ANN02",2011,0,11,11,0,1
"19","ANN02",2012,0,10,10,0,1
"20","ANN02",2014,0,11,11,0,1
"21","ANN03",2004,4,23,27,0,1
"22","ANN03",2005,3,24,27,0,1
"23","ANN03",2006,0,27,27,0,1
"24","ANN03",2007,1,24,25,0,1
"25","ANN03",2008,0,24,24,0,1
"26","ANN03",2009,0,27,27,0,1
"27","ANN03",2010,0,41,41,0,1
"28","ANN03",2011,0,40,40,0,1
"29","ANN03",2012,0,45,45,0,1
"30","ANN03",2014,2,40,42,0,1
"31","ANN04",2004,4,8,12,0,1
"32","ANN04",2005,3,10,13,0,1
"33","ANN04",2006,2,11,13,0,1
"34","ANN04",2007,0,13,13,0,1
"35","ANN04",2008,0,13,13,0,1
"36","ANN04",2009,0,13,13,0,1
"37","ANN04",2010,0,13,13,0,1
"38","ANN04",2011,0,13,13,0,1
"39","ANN04",2012,1,12,13,0,1
"40","ANN04",2014,1,11,12,0,1
"41","ANN05",2003,0,15,15,0,1
"42","ANN05",2004,0,12,12,0,1
"43","ANN05",2005,0,15,15,0,1
"44","ANN05",2006,0,15,15,0,1
"45","ANN05",2008,0,15,15,0,1
"46","ANN05",2009,0,14,14,0,1
"47","ANN05",2010,0,14,14,0,1
"48","ANN05",2011,0,14,14,0,1
"49","ANN05",2012,0,14,14,0,1
"50","ANN05",2014,0,14,14,0,1
"51","ANN06",2004,2,6,8,0,1
"52","ANN06",2005,0,9,9,0,1
"53","ANN06",2006,9,1,10,0,1
"54","ANN06",2007,0,10,10,0,1
"55","ANN06",2008,0,10,10,0,1
"56","ANN06",2009,0,10,10,0,1
"57","ANN06",2010,0,10,10,0,1
"58","ANN06",2011,1,9,10,0,1
"59","ANN06",2012,0,10,10,0,1
"60","ANN06",2014,0,10,10,0,1
"61","ANN07",2004,2,1,3,0,1
"62","ANN07",2005,1,2,3,0,1
"63","ANN07",2006,1,2,3,0,1
"64","ANN07",2007,0,3,3,0,1
"65","ANN07",2008,0,3,3,0,1
"66","ANN07",2009,0,3,3,0,1
"67","ANN07",2010,0,3,3,0,1
"68","ANN07",2011,0,3,3,0,1
"69","ANN07",2012,0,3,3,0,1
"70","ANN07",2014,0,3,3,0,1
"71","ANN08",2004,0,3,3,0,1
"72","ANN08",2005,0,3,3,0,1
"73","ANN08",2006,4,0,4,0,0
"74","ANN08",2007,0,4,4,0,1
"75","ANN08",2008,0,4,4,0,1
"76","ANN08",2009,0,4,4,0,1
"77","ANN08",2010,0,4,4,0,1
"78","ANN08",2011,0,4,4,0,1
"79","ANN08",2012,0,5,5,0,1
"80","ANN08",2014,0,5,5,0,1
"81","ANN09",2004,2,2,4,0,1
"82","ANN09",2005,2,2,4,0,1
"83","ANN09",2006,0,5,5,0,1
"84","ANN09",2007,0,5,5,0,1
"85","ANN09",2008,0,5,5,0,1
"86","ANN09",2009,0,5,5,0,1
